User Phrase;System Response;Intent
Wait, did you hear me?;I heard self-talk before the approach. Confirm to save?;Meta.Confirm
Can you repeat what I said?;You said deep breath on hole 5. Should I re-log it?;Meta.Confirm
Did you get that?;Looks like you used the trigger word. Want to confirm it?;Meta.Confirm
What did I log?;You logged peak focus. Should I keep that?;Meta.Confirm
Repeat my last input.;You said calm and in control. Want to repeat it?;Meta.Confirm
What was my last command?;I detected letting go as your cue. Log again?;Meta.Confirm
Did you catch that last part?;Reset cue logged — repeat or edit?;Meta.Confirm
Tell me what I said again.;Routine type was pre-shot. Confirm again?;Meta.Confirm
Log that again?;I caught a focus routine. Want to re-log it?;Meta.Confirm
What did I just say?;You mentioned visualization before the shot. Want to log that again?;Meta.Confirm
Wait, did you hear me?;I heard self-talk before the approach. Confirm to save?;Meta.Confirm
Can you repeat what I said?;You said deep breath on hole 5. Should I re-log it?;Meta.Confirm
Did you get that?;Looks like you used the trigger word. Want to confirm it?;Meta.Confirm
What did I log?;You logged peak focus. Should I keep that?;Meta.Confirm
Repeat my last input.;You said calm and in control. Want to repeat it?;Meta.Confirm
What was my last command?;I detected letting go as your cue. Log again?;Meta.Confirm
Did you catch that last part?;Reset cue logged — repeat or edit?;Meta.Confirm
Tell me what I said again.;Routine type was pre-shot. Confirm again?;Meta.Confirm
Log that again?;I caught a focus routine. Want to re-log it?;Meta.Confirm
What did I just say?;You mentioned visualization before the shot. Want to log that again?;Meta.Confirm
Wait, did you hear me?;I heard self-talk before the approach. Confirm to save?;Meta.Confirm
Can you repeat what I said?;You said deep breath on hole 5. Should I re-log it?;Meta.Confirm
Did you get that?;Looks like you used the trigger word. Want to confirm it?;Meta.Confirm
What did I log?;You logged peak focus. Should I keep that?;Meta.Confirm
Repeat my last input.;You said calm and in control. Want to repeat it?;Meta.Confirm
What was my last command?;I detected letting go as your cue. Log again?;Meta.Confirm
Did you catch that last part?;Reset cue logged — repeat or edit?;Meta.Confirm
Tell me what I said again.;Routine type was pre-shot. Confirm again?;Meta.Confirm
Log that again?;I caught a focus routine. Want to re-log it?;Meta.Confirm
What did I just say?;You mentioned visualization before the shot. Want to log that again?;Meta.Confirm
Wait, did you hear me?;I heard self-talk before the approach. Confirm to save?;Meta.Confirm
Can you repeat what I said?;You said deep breath on hole 5. Should I re-log it?;Meta.Confirm
Did you get that?;Looks like you used the trigger word. Want to confirm it?;Meta.Confirm
What did I log?;You logged peak focus. Should I keep that?;Meta.Confirm
Repeat my last input.;You said calm and in control. Want to repeat it?;Meta.Confirm
What was my last command?;I detected letting go as your cue. Log again?;Meta.Confirm
Did you catch that last part?;Reset cue logged — repeat or edit?;Meta.Confirm
Tell me what I said again.;Routine type was pre-shot. Confirm again?;Meta.Confirm
Log that again?;I caught a focus routine. Want to re-log it?;Meta.Confirm
What did I just say?;You mentioned visualization before the shot. Want to log that again?;Meta.Confirm
Wait, did you hear me?;I heard self-talk before the approach. Confirm to save?;Meta.Confirm
Can you repeat what I said?;You said deep breath on hole 5. Should I re-log it?;Meta.Confirm
Did you get that?;Looks like you used the trigger word. Want to confirm it?;Meta.Confirm
What did I log?;You logged peak focus. Should I keep that?;Meta.Confirm
Repeat my last input.;You said calm and in control. Want to repeat it?;Meta.Confirm
What was my last command?;I detected letting go as your cue. Log again?;Meta.Confirm
Did you catch that last part?;Reset cue logged — repeat or edit?;Meta.Confirm
Tell me what I said again.;Routine type was pre-shot. Confirm again?;Meta.Confirm
Log that again?;I caught a focus routine. Want to re-log it?;Meta.Confirm
What did I just say?;You mentioned visualization before the shot. Want to log that again?;Meta.Confirm
Wait, did you hear me?;I heard self-talk before the approach. Confirm to save?;Meta.Confirm
Can you repeat what I said?;You said deep breath on hole 5. Should I re-log it?;Meta.Confirm
Did you get that?;Looks like you used the trigger word. Want to confirm it?;Meta.Confirm
What did I log?;You logged peak focus. Should I keep that?;Meta.Confirm
Repeat my last input.;You said calm and in control. Want to repeat it?;Meta.Confirm
What was my last command?;I detected letting go as your cue. Log again?;Meta.Confirm
Did you catch that last part?;Reset cue logged — repeat or edit?;Meta.Confirm
Tell me what I said again.;Routine type was pre-shot. Confirm again?;Meta.Confirm
Log that again?;I caught a focus routine. Want to re-log it?;Meta.Confirm
What did I just say?;You mentioned visualization before the shot. Want to log that again?;Meta.Confirm
Wait, did you hear me?;I heard self-talk before the approach. Confirm to save?;Meta.Confirm
Can you repeat what I said?;You said deep breath on hole 5. Should I re-log it?;Meta.Confirm
Did you get that?;Looks like you used the trigger word. Want to confirm it?;Meta.Confirm
What did I log?;You logged peak focus. Should I keep that?;Meta.Confirm
Repeat my last input.;You said calm and in control. Want to repeat it?;Meta.Confirm
What was my last command?;I detected letting go as your cue. Log again?;Meta.Confirm
Did you catch that last part?;Reset cue logged — repeat or edit?;Meta.Confirm
Tell me what I said again.;Routine type was pre-shot. Confirm again?;Meta.Confirm
Log that again?;I caught a focus routine. Want to re-log it?;Meta.Confirm
What did I just say?;You mentioned visualization before the shot. Want to log that again?;Meta.Confirm
Wait, did you hear me?;I heard self-talk before the approach. Confirm to save?;Meta.Confirm
Can you repeat what I said?;You said deep breath on hole 5. Should I re-log it?;Meta.Confirm
Did you get that?;Looks like you used the trigger word. Want to confirm it?;Meta.Confirm
What did I log?;You logged peak focus. Should I keep that?;Meta.Confirm
Repeat my last input.;You said calm and in control. Want to repeat it?;Meta.Confirm
What was my last command?;I detected letting go as your cue. Log again?;Meta.Confirm
Did you catch that last part?;Reset cue logged — repeat or edit?;Meta.Confirm
Tell me what I said again.;Routine type was pre-shot. Confirm again?;Meta.Confirm
Log that again?;I caught a focus routine. Want to re-log it?;Meta.Confirm
What did I just say?;You mentioned visualization before the shot. Want to log that again?;Meta.Confirm
Wait, did you hear me?;I heard self-talk before the approach. Confirm to save?;Meta.Confirm
Can you repeat what I said?;You said deep breath on hole 5. Should I re-log it?;Meta.Confirm
Did you get that?;Looks like you used the trigger word. Want to confirm it?;Meta.Confirm
What did I log?;You logged peak focus. Should I keep that?;Meta.Confirm
Repeat my last input.;You said calm and in control. Want to repeat it?;Meta.Confirm
What was my last command?;I detected letting go as your cue. Log again?;Meta.Confirm
Did you catch that last part?;Reset cue logged — repeat or edit?;Meta.Confirm
Tell me what I said again.;Routine type was pre-shot. Confirm again?;Meta.Confirm
Log that again?;I caught a focus routine. Want to re-log it?;Meta.Confirm
What did I just say?;You mentioned visualization before the shot. Want to log that again?;Meta.Confirm
Wait, did you hear me?;I heard self-talk before the approach. Confirm to save?;Meta.Confirm
Can you repeat what I said?;You said deep breath on hole 5. Should I re-log it?;Meta.Confirm
Did you get that?;Looks like you used the trigger word. Want to confirm it?;Meta.Confirm
What did I log?;You logged peak focus. Should I keep that?;Meta.Confirm
Repeat my last input.;You said calm and in control. Want to repeat it?;Meta.Confirm
What was my last command?;I detected letting go as your cue. Log again?;Meta.Confirm
Did you catch that last part?;Reset cue logged — repeat or edit?;Meta.Confirm
Tell me what I said again.;Routine type was pre-shot. Confirm again?;Meta.Confirm
Log that again?;I caught a focus routine. Want to re-log it?;Meta.Confirm
What did I just say?;You mentioned visualization before the shot. Want to log that again?;Meta.Confirm
Wait, did you hear me?;I heard self-talk before the approach. Confirm to save?;Meta.Confirm
Can you repeat what I said?;You said deep breath on hole 5. Should I re-log it?;Meta.Confirm
Did you get that?;Looks like you used the trigger word. Want to confirm it?;Meta.Confirm
What did I log?;You logged peak focus. Should I keep that?;Meta.Confirm
Repeat my last input.;You said calm and in control. Want to repeat it?;Meta.Confirm
What was my last command?;I detected letting go as your cue. Log again?;Meta.Confirm
Did you catch that last part?;Reset cue logged — repeat or edit?;Meta.Confirm
Tell me what I said again.;Routine type was pre-shot. Confirm again?;Meta.Confirm
Log that again?;I caught a focus routine. Want to re-log it?;Meta.Confirm
What did I just say?;You mentioned visualization before the shot. Want to log that again?;Meta.Confirm
Wait, did you hear me?;I heard self-talk before the approach. Confirm to save?;Meta.Confirm
Can you repeat what I said?;You said deep breath on hole 5. Should I re-log it?;Meta.Confirm
Did you get that?;Looks like you used the trigger word. Want to confirm it?;Meta.Confirm
What did I log?;You logged peak focus. Should I keep that?;Meta.Confirm
Repeat my last input.;You said calm and in control. Want to repeat it?;Meta.Confirm
What was my last command?;I detected letting go as your cue. Log again?;Meta.Confirm
Did you catch that last part?;Reset cue logged — repeat or edit?;Meta.Confirm
Tell me what I said again.;Routine type was pre-shot. Confirm again?;Meta.Confirm
Log that again?;I caught a focus routine. Want to re-log it?;Meta.Confirm
What did I just say?;You mentioned visualization before the shot. Want to log that again?;Meta.Confirm
Wait, did you hear me?;I heard self-talk before the approach. Confirm to save?;Meta.Confirm
Can you repeat what I said?;You said deep breath on hole 5. Should I re-log it?;Meta.Confirm
Did you get that?;Looks like you used the trigger word. Want to confirm it?;Meta.Confirm
What did I log?;You logged peak focus. Should I keep that?;Meta.Confirm
Repeat my last input.;You said calm and in control. Want to repeat it?;Meta.Confirm
What was my last command?;I detected letting go as your cue. Log again?;Meta.Confirm
Did you catch that last part?;Reset cue logged — repeat or edit?;Meta.Confirm
Tell me what I said again.;Routine type was pre-shot. Confirm again?;Meta.Confirm
Log that again?;I caught a focus routine. Want to re-log it?;Meta.Confirm
What did I just say?;You mentioned visualization before the shot. Want to log that again?;Meta.Confirm
Wait, did you hear me?;I heard self-talk before the approach. Confirm to save?;Meta.Confirm
